advanced,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
better-off,ˌbetər ˈɒf,adjective,khá giả hơn,richer,This school is mainly attended by children from better-off families.,Trường học này chủ yếu dành cho con cái của các gia đình khá giả hơn.,The policy aims to help less better-off students.,Chính sách nhằm giúp đỡ các học sinh kém may mắn hơn.,B2,,,,,This school is mainly attended by children from _____________ families.,The policy aims to help less _____________ students.,intensively,một cách tập trung cao độ,commence,"bắt đầu, khởi công",serial,"theo tuần tự, liên tiếp, thành dãy",contaminate,"làm ô nhiễm, làm bẩn",enough is enough,"đủ rồi, không thể chịu đựng thêm được nữa",Education: debates and issues
bursary,ˈbɜːsəri,noun,học bổng / trợ cấp,a grant or scholarship,She received a bursary to cover her university fees.,Cô ấy đã nhận được một học bổng để trang trải học phí đại học.,The bursary is based on financial need.,Khoản trợ cấp này dựa trên nhu cầu tài chính.,C1,,,,,She received a _____________ to cover her university fees.,The _____________ is based on financial need.,know inside out,hiểu tường tận,cease,"chấm dứt, ngừng",complement,"bổ sung, làm hoàn hảo thêm",emit,"thải ra, phát ra",treaty,"hiệp ước, hiệp định",Education: debates and issues
elitism,ɪˈliːtɪzəm,noun,chủ nghĩa tinh hoa,belief in rule by a small elite,The education system was criticized for its elitism.,Hệ thống giáo dục bị chỉ trích vì chủ nghĩa tinh hoa của nó.,The university tries to avoid elitism.,Trường đại học cố gắng tránh ưu ái nhóm nhỏ ưu tú.,C1,,,,,The education system was criticized for its _____________.,The university tries to avoid _____________.,mind map,sơ đồ tư duy,next of kin,"người thân nhất, thân nhân",capital punishment,hình phạt tử hình,inappropriate,"không phù hợp (trang phục, hành vi)",declare,"tuyên bố, khai báo",Education: debates and issues
equality of opportunity,iːˌkwɒləti əv ˌɒpəˈtjuːnəti,noun phrase,bình đẳng về cơ hội,fair access to education,The company believes in equality of opportunity.,Công ty tin vào bình đẳng về cơ hội.,We need to ensure equality of opportunity for all.,Chúng ta cần đảm bảo bình đẳng cơ hội cho tất cả.,C1,,,,,The company believes in _____________.,We need to ensure _____________ for all.,mnemonics,thuật ghi nhớ,evacuate,"sơ tán, di dời",naive,"ngây thơ, khờ dại",inaccuracy,sự không chính xác,alibi,chứng cớ ngoại phạm,Education: debates and issues
league table,ˈliːɡ ˈteɪbl,noun,bảng xếp hạng,a ranking list,The school has risen in the national league tables.,Trường đã vươn lên trong bảng xếp hạng toàn quốc.,Parents often consult school league tables.,Các bậc phụ huynh thường tham khảo bảng xếp hạng của các trường.,B2,,,,,The school has risen in the national _____________.,Parents often consult school _____________.,past papers,các đề thi năm trước,facilitate,"tạo điều kiện, thúc đẩy",utterly,"hoàn toàn, hết sức",reconsider,"xem xét lại, cân nhắc lại",double-edged,"hai mặt, con dao hai lưỡi",Education: debates and issues
less well-off,ˌles ˌwel ˈɒf,adjective phrase,kém may mắn hơn,poorer,The scholarship is for students from less well-off backgrounds.,Học bổng dành cho sinh viên có hoàn cảnh kém may mắn hơn.,Many less well-off families struggle to pay for education.,Nhiều gia đình nghèo hơn gặp khó khăn trong việc trang trải cho giáo dục.,B2,,,,,The scholarship is for students from _____________ backgrounds.,Many _____________ families struggle to pay for education.,rote-learning,học vẹt,instruct,"hướng dẫn, chỉ dẫn; chỉ thị",dismal,"ảm đạm, u ám; tồi tệ.",overshadow,"làm lu mờ, át đi",stake,"vốn góp, cổ phần",Education: debates and issues
perpetuate,pəˈpetʃueɪt,verb,duy trì (điều xấu),to cause to continue,The new policy could perpetuate inequality in education.,Chính sách mới có thể duy trì sự bất bình đẳng trong giáo dục.,We must not perpetuate these harmful stereotypes.,Chúng ta không được duy trì những định kiến có hại này.,C1,,,,,The new policy could _____________ inequality in education.,We must not _____________ these harmful stereotypes.,curriculum reform,cải cách chương trình,resume,"nối lại, tiếp tục",stream,phát trực tuyến,productive,"hiệu quả, năng suất cao",pledge,cam kết,Education: debates and issues
schooling,ˈskuːlɪŋ,noun,sự giáo dục ở nhà trường,education at school,His formal schooling was interrupted by the war.,Việc học ở trường chính thức của ông đã bị gián đoạn bởi chiến tranh.,My parents paid for my schooling.,Cha mẹ tôi đã trả tiền cho việc học ở trường của tôi.,B2,,,,,His formal _____________ was interrupted by the war.,My parents paid for my _____________.,guidelines,nguyên tắc chỉ đạo,academic journal,tạp chí học thuật,put forward,"đưa ra, đề xuất",biodegradable,có thể phân hủy sinh học,vow,"thề, hứa (một cách trịnh trọng)",Education: debates and issues
two-tier system,ˌtuː ˈtɪə ˌsɪstəm,noun phrase,hệ thống hai cấp,a system with two levels,The funding model creates a two-tier system in healthcare.,Mô hình tài trợ tạo ra một hệ thống hai cấp trong chăm sóc sức khỏe.,Some argue that private schools create a two-tier system.,Một số người cho rằng trường tư thục tạo ra hệ thống hai cấp.,C1,,,,,The funding model creates a _____________ in healthcare.,Some argue that private schools create a _____________.,lifelong education,giáo dục suốt đời,carry out research,thực hiện nghiên cứu,dwell on,"day dứt, suy nghĩ mãi về (chuyện không hay)",phonetics,ngữ âm học,stake,"vốn góp, cổ phần",Education: debates and issues
well-endowed,ˌwel ɪnˈdaʊd,adjective,được tài trợ tốt,having a lot of money,The university is a well-endowed institution.,Trường đại học là một cơ sở được tài trợ tốt.,Well-endowed schools can offer more scholarships.,Các trường có nguồn vốn dồi dào có thể trao nhiều học bổng hơn.,C1,,,,,The university is a _____________ institution.,_____________ schools can offer more scholarships.,mature student,sinh viên lớn tuổi,feedback,phản hồi / nhận xét,catch on,"hiểu ra, nắm bắt được",prepaid,"trả trước, nạp trước",vague,"mơ hồ, không rõ ràng",Education: debates and issues
depressing,/dɪˈpresɪŋ/,Adjective,"làm nản lòng, chán nản, thất vọng",Causing a feeling of being very sad and without enthusiasm.,The news about the war was very depressing.,Tin tức về chiến tranh rất đáng chán nản.,It is depressing to see so many talented people leave the industry.,Thật chán nản khi thấy nhiều người tài năng rời bỏ ngành.,B2,,,,,The news about the war was very _____________.,It is _____________ to see so many talented people leave the industry.,volunteer,tình nguyện viên,call off,"hủy bỏ (sự kiện, cuộc họp, kế hoạch)",bloke,"gã, chàng trai (Anh-Anh)",in summary,tóm lại,swiftly,nhanh lẹ,Education: debates and issues
scholarship,/ˈskɒləʃɪp/,noun,Học bổng,an amount of money given to somebody by an organization to help pay for their education,She won a scholarship to study physics at Cambridge.,Cô ấy đã giành được học bổng để học vật lý tại Cambridge.,He applied for a sports scholarship.,Anh ấy đã nộp đơn xin học bổng thể thao.,B1,,,,,She won a _____________ to study physics at Cambridge.,He applied for a sports _____________.,freelance,làm việc tự do,Renaissance,thời kỳ Phục hưng,sanction,"biện pháp trừng phạt, lệnh trừng phạt",feature,"bài đặc trưng, phóng sự",opening,"buổi công chiếu, đêm mở màn",Education: debates and issues
undergraduate,/ˌʌndəˈɡrædʒuət/,noun,Sinh viên đại học (chưa tốt nghiệp).,A university or college student who is studying for their first degree.,He was an undergraduate at Harvard University.,Anh ấy từng là một sinh viên đại học tại Đại học Harvard.,"As an undergraduate, she studied economics and wrote for the university newspaper.","Khi còn là sinh viên đại học, cô ấy học kinh tế và viết bài cho tờ báo của trường.",B2,,,,,He was an _____________ at Harvard University.,"As an _____________, she studied economics and wrote for the university newspaper.",currency,"tiền tệ, đồng tiền",flood,"Lũ lụt, ngập lụt",national park,vườn quốc gia,frightened,"sợ hãi, hoảng sợ",head,"đi về hướng, lãnh đạo",Education: debates and issues
tertiary,/ˈtɜː.ʃər.i/,adj,Bậc ba,Third in level,Tertiary education includes universities.,Giáo dục bậc ba bao gồm đại học.,She decided to pursue tertiary education after taking a gap year.,Cô ấy quyết định theo đuổi giáo dục bậc ba sau một năm nghỉ ngơi.,B2,,,,,_____________ education includes universities.,She decided to pursue _____________ education after taking a gap year.,loyalty,Lòng trung thành,poacher,kẻ săn trộm,genuine,chính hãng,campaign,Chiến dịch,appeal,"kêu gọi, kháng cáo",Education: debates and issues
comprehensive,/ˌkɒmprɪˈhensɪv/,adjective,"toàn diện, bao quát","including all, or almost all, the items, details, facts, information, etc., that may be involved",The company issued a comprehensive report on market trends.,Công ty đã ban hành một báo cáo toàn diện về xu hướng thị trường.,All new staff receive comprehensive training.,Tất cả nhân viên mới đều được đào tạo toàn diện.,B2,,,,,The company issued a _____________ report on market trends.,All new staff receive _____________ training.,assemble,tập hợp,discerning,"tinh tế, sáng suốt",fruitful,Mang lại kết quả tốt,all the rage,thịnh hành,discord,"sự bất hòa, xung đột",Education: debates and issues
perceive,/pəˈsiːv/,verb,Nhận thức,Become aware of something,Dogs perceive sounds humans can't.,Chó nhận thức âm thanh con người không nghe được.,Different people may perceive the same situation in completely different ways based on their past experiences.,Những người khác nhau có thể nhận thức cùng một tình huống theo những cách hoàn toàn khác nhau dựa trên kinh nghiệm quá khứ của họ.,B2,,,,,Dogs _____________ sounds humans can't.,Different people may _____________ the same situation in completely different ways based on their past experiences.,alarming,đáng báo động,recession,tình trạng suy thoái kinh tế,lucrative,béo bở,quadruple,tăng gấp bốn lần,diabetes,bệnh tiểu đường,Education: debates and issues
excel,/ɪkˈsel/,verb,Xuất sắc,Be exceptionally good at something,She excels in public speaking.,Cô ấy xuất sắc trong nói trước công chúng.,"She always manages to excel in everything she does, whether it's academics, sports, or music.","Cô ấy luôn luôn xuất sắc trong mọi việc cô ấy làm, cho dù đó là học tập, thể thao hay âm nhạc.",B2,,,,,She _____________ in public speaking.,"She always manages to _____________ in everything she does, whether it's academics, sports, or music.",insight,Hiểu biết sâu sắc,stride,bước tiến,awe-inspiring,đầy cảm hứng,star,ngôi sao,AIDS,bệnh AIDS (một hội chứng suy giảm miễn dịch do virus HIV gây ra),Education: debates and issues
