Từ vựng,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
intransitive,ɪnˈtrænsətɪv,adjective,nội động từ (không cần tân ngữ),a verb that does not have a direct object,The verb 'sleep' is intransitive because it doesn't take an object.,Động từ 'sleep' là nội động từ vì nó không có tân ngữ.,"In the sentence 'She runs fast', 'runs' is intransitive.","Trong câu 'She runs fast', 'runs' là nội động từ.",B2,,,,,The verb 'sleep' is _____________ because it doesn't take an object.,"In the sentence 'She runs fast', 'runs' is _____________.",oversleep,"Ngủ quên, ngủ dậy muộn",word class,từ loại,range,"Phạm vi, loạt, dải",in isolation,một cách cô lập / riêng lẻ,restroom,nhà vệ sinh (công cộng),Using your dictionary
hurtful,ˈhɜːtfl,adjective,làm tổn thương / gây đau lòng,causing emotional pain,His words were very hurtful.,Lời nói của anh ấy rất làm tổn thương.,She said some hurtful things that she later regretted.,Cô ấy đã nói những điều gây đau lòng mà sau đó cô ấy hối hận.,B2,,,,,His words were very _____________.,She said some _____________ things that she later regretted.,gain,"đạt được, giành được, tăng",to and fro,đi đi lại lại,sophisticated,"tinh tế, sành điệu, từng trải",gutted,rất thất vọng / chán nản (từ lóng),drape,rèm cửa (dày),Using your dictionary
foe,fəʊ,noun,kẻ thù (từ cũ/văn học),an enemy,The two countries were once foes but are now allies.,Hai quốc gia từng là kẻ thù nhưng bây giờ là đồng minh.,He made many foes during his political career.,Anh ta đã tạo ra nhiều kẻ thù trong sự nghiệp chính trị của mình.,C1,,,,,The two countries were once _____________ but are now allies.,He made many _____________ during his political career.,stress,trọng âm,snowed under,ngập đầu trong công việc,accurately,một cách chính xác,felon,tội phạm trọng tội (từ cũ/Mỹ),diaper,tã lót,Using your dictionary
enchanting,ɪnˈtʃɑːntɪŋ,adjective,làm say mê / quyến rũ,very beautiful or attractive,The music was absolutely enchanting.,Âm nhạc thực sự làm say mê.,She had an enchanting smile.,Cô ấy có một nụ cười quyến rũ.,B2,,,,,The music was absolutely _____________.,She had an _____________ smile.,now and again,"Thỉnh thoảng, đôi khi",related words,các từ liên quan (cùng gia đình từ),undertake,"đảm nhận, cam kết",at a loss for words,không nói nên lời,candy,kẹo,Using your dictionary
awkward,/ˈɔːkwəd/,Adjective,"lúng túng, ngượng ngùng, bất tiện","Causing difficulty, embarrassment, or inconvenience.",There was an awkward silence when no one in the meeting knew the answer to the client's question.,Có một sự im lặng ngượng ngùng khi không ai trong cuộc họp biết câu trả lời cho câu hỏi của khách hàng.,He felt awkward asking his boss for a pay rise.,Anh ấy cảm thấy lúng túng khi hỏi sếp về việc tăng lương.,B1,,,,,There was an _____________ silence when no one in the meeting knew the answer to the client's question.,He felt _____________ asking his boss for a pay rise.,spam,thư rác,network diagram,sơ đồ mạng lưới,register,"quầy thanh toán, máy tính tiền",appropriately,một cách thích hợp,biscuit,bánh quy (Anh),Using your dictionary
compulsory,/kəmˈpʌlsəri/,adjective,bắt buộc,that must be done because of a law or rule,Military service is compulsory in some countries.,Nghĩa vụ quân sự là bắt buộc ở một số quốc gia.,"In many countries, attending school is compulsory for all children until the age of sixteen.","Ở nhiều quốc gia, việc đi học là bắt buộc đối với tất cả trẻ em cho đến mười sáu tuổi.",B2,,,,,Military service is _____________ in some countries.,"In many countries, attending school is _____________ for all children until the age of sixteen.",podcast,Podcast (tệp âm thanh số),junk mail,thư rác,subtle,"tinh tế, tế nhị, khó thấy rõ",alight,"xuống (xe, tàu) - trang trọng",sweets,kẹo (Anh),Using your dictionary
damp,/dæmp/,adjective,Ẩm ướt (thường khó chịu),"Slightly wet, often in an unpleasant way.",The walls were cold and damp.,Những bức tường lạnh và ẩm ướt.,Wipe the surface with a damp cloth.,Lau bề mặt bằng một chiếc khăn ẩm.,B1,,,,,The walls were cold and _____________.,Wipe the surface with a _____________ cloth.,urban,"thuộc thành thị, đô thị",burnt out,kiệt sức (do làm việc quá sức),perfectionist,người cầu toàn,bug,Lỗi (phần mềm/máy tính),wardrobe,"Tủ quần áo, bộ sưu tập quần áo",Using your dictionary
unique,/juˈniːk/,adjective,"độc đáo, duy nhất",being the only one of its kind; very special or unusual,Each person's fingerprints are unique.,Dấu vân tay của mỗi người là duy nhất.,The hotel has its own unique charm.,Khách sạn có nét quyến rũ độc đáo riêng.,B1,,,,,Each person's fingerprints are _____________.,The hotel has its own _____________ charm.,rural,"thuộc nông thôn, mang tính nông thôn",antonym,từ trái nghĩa,latecomer,người đến muộn,collocation,kết hợp từ,curtain,"rèm cửa, màn",Using your dictionary
commitment,/kəˈmɪt.mənt/,Noun,"sự cam kết, sự tận tâm",a promise to do something or to behave in a particular way; the willingness to work hard and give energy and time to a job or activity,His commitment to work is admirable.,Sự cam kết với công việc của anh ấy đáng ngưỡng mộ.,His commitment to the project was evident in the long hours he spent working on it every weekend.,Sự cam kết của anh ấy đối với dự án được thể hiện rõ qua những giờ làm việc dài mà anh ấy dành cho nó mỗi cuối tuần.,B2,,,,,His _____________ to work is admirable.,His _____________ to the project was evident in the long hours he spent working on it every weekend.,hang out with,"đi chơi với, giao du với",oversleep,"Ngủ quên, ngủ dậy muộn",dissatisfied,không hài lòng,luggage,Hành lý,toilet,"bồn cầu, nhà vệ sinh",Using your dictionary
fascinating,/ˈfæsɪneɪtɪŋ/,adjective,"hấp dẫn, lôi cuốn",extremely interesting and attractive,The lecture on black holes was absolutely fascinating.,Bài giảng về hố đen thực sự rất hấp dẫn.,It is fascinating to speculate about the possibility of life on other planets.,Thật thú vị khi suy đoán về khả năng tồn tại sự sống trên các hành tinh khác.,B1,,,,,The lecture on black holes was absolutely _____________.,It is _____________ to speculate about the possibility of life on other planets.,casual acquaintance,người quen xã giao,gain,"đạt được, giành được, tăng",deprive of,tước đoạt / lấy đi,coin,đồng xu,French fries,"khoai tây chiên (que, thường dùng trong bữa ăn)",Using your dictionary
content,/kənˈtent/,Adjective,"hài lòng, bằng lòng, mãn nguyện",Happy and satisfied with what you have.,She emptied the contents of the shopping bag onto the kitchen counter.,Cô ấy đổ hết đồ đựng bên trong túi mua sắm ra mặt bàn bếp.,The nutritional content of the meal was carefully calculated by a professional dietician.,Hàm lượng dinh dưỡng của bữa ăn đã được một chuyên gia dinh dưỡng chuyên nghiệp tính toán cẩn thận.,B2,,,,,She emptied the _____________ of the shopping bag onto the kitchen counter.,The nutritional _____________ of the meal was carefully calculated by a professional dietician.,cease,"chấm dứt, ngừng",stress,trọng âm,breathless,"hụt hơi, khó thở",systematic,có hệ thống,flashlight,Đèn pin,Using your dictionary
synonym,ˈsɪnənɪm,noun,từ đồng nghĩa,a word that means the same as another word,Happy' is a synonym of 'joyful'.,Happy' là từ đồng nghĩa của 'joyful'.,Can you think of a synonym for 'sad'?,Bạn có thể nghĩ ra một từ đồng nghĩa với 'sad' không?,B2,,,,,Happy' is a _____________ of 'joyful'.,Can you think of a _____________ for 'sad'?,transitive,ngoại động từ (cần tân ngữ),now and again,"Thỉnh thoảng, đôi khi",word family,gia đình từ (các từ cùng gốc),range,"Phạm vi, loạt, dải",closet,tủ quần áo,Organising a vocabulary notebook
dated,ˈdeɪtɪd,adjective,lỗi thời / cũ kỹ,old-fashioned and not modern,That style looks very dated now.,Phong cách đó bây giờ trông rất lỗi thời.,Her clothes are a bit dated.,Quần áo của cô ấy hơi cũ kỹ.,B2,,,,,That style looks very _____________ now.,Her clothes are a bit _____________.,riveting,rất thú vị / không thể rời mắt,spam,thư rác,word class,từ loại,sophisticated,"tinh tế, sành điệu, từng trải",yard,"sân, khoảng sân",Organising a vocabulary notebook
compound noun,ˈkɒmpaʊnd naʊn,noun phrase,danh từ ghép,a noun formed by two or more words,Bus stop' is a compound noun.,Bus stop' là một danh từ ghép.,A compound noun is formed from two or more words.,Danh từ ghép được tạo thành từ hai hoặc nhiều từ.,B2,,,,,Bus stop' is a _____________.,A _____________ is formed from two or more words.,mislay,để thất lạc (quên chỗ để),podcast,Podcast (tệp âm thanh số),to and fro,đi đi lại lại,accurately,một cách chính xác,garden,khu vườn,Organising a vocabulary notebook
compound adjective,ˈkɒmpaʊnd ˈædʒɪktɪv,noun phrase,tính từ ghép,an adjective formed by two or more words,World-famous' is a compound adjective.,World-famous' là một tính từ ghép.,They live in a compound adjective 'well-known' building.,Họ sống trong một tòa nhà tính từ ghép 'nổi tiếng'.,B2,,,,,World-famous' is a _____________.,They live in a _____________ 'well-known' building.,intransitive,nội động từ (không cần tân ngữ),urban,"thuộc thành thị, đô thị",snowed under,ngập đầu trong công việc,undertake,"đảm nhận, cam kết",bathroom,phòng tắm,Organising a vocabulary notebook
offend,/əˈfend/,verb,"làm phật lòng, xúc phạm",to make somebody feel upset because of something you say or do that is rude or embarrassing,I hope I did not offend you with my question.,Tôi hy vọng tôi đã không xúc phạm bạn với câu hỏi của mình.,The strong smell of the chemical offended my senses.,Mùi hóa chất nồng nặc làm khó chịu các giác quan của tôi.,B2,,,,,I hope I did not _____________ you with my question.,The strong smell of the chemical _____________ my senses.,hurtful,làm tổn thương / gây đau lòng,rural,"thuộc nông thôn, mang tính nông thôn",related words,các từ liên quan (cùng gia đình từ),register,"quầy thanh toán, máy tính tiền",Scotch tape,băng dính trong suốt (nhãn hiệu Scotch),Organising a vocabulary notebook
collocation,/ˌkɒləˈkeɪʃn/,noun,kết hợp từ,a combination of words in a language that happens very often and more frequently than would happen by chance,Make a mistake is a common collocation in English.,Make a mistake là một kết hợp từ phổ biến trong tiếng Anh.,Learning collocations can make your English sound more natural.,Học các kết hợp từ có thể làm cho tiếng Anh của bạn nghe tự nhiên hơn.,B2,,,,,_____________ is a common collocation in English.,Learning _____________ can make your English sound more natural.,foe,kẻ thù (từ cũ/văn học),hang out with,"đi chơi với, giao du với",network diagram,sơ đồ mạng lưới,subtle,"tinh tế, tế nhị, khó thấy rõ",cookie,"cookie, tệp tin lưu trữ tạm",Guessing and explaining meaning
prefix,/ˈpriːfɪks/,noun,tiền tố,a letter or group of letters added to the beginning of a word to change its meaning,"The prefix ""re-"" often means again, as in ""rewrite.""","Tiền tố ""re-"" thường có nghĩa là lại, như trong ""rewrite"".","Un- is a common negative prefix, like in ""unavailable.""","Un- là một tiền tố phủ định phổ biến, như trong ""unavailable"".",B1,,,,,"The _____________ ""re-"" often means again, as in ""rewrite.""","Un- is a common negative _____________, like in ""unavailable.""",enchanting,làm say mê / quyến rũ,casual acquaintance,người quen xã giao,junk mail,thư rác,perfectionist,người cầu toàn,waistcoat,áo gile (Anh),Guessing and explaining meaning
